track_id,album_id
1,2
2,1
3,6
4,3
5,7
6,10
7,5
8,1
9,13
10,1
11,15
12,11
13,3
14,4
15,5
16,14
17,12
18,16
19,19
20,4
21,4
22,4
23,30
24,8
25,44
26,33
27,23
28,3
29,36
30,25
31,12
32,3
33,12
34,65
35,39
36,40
37,43
38,41
39,8
40,8
41,8
42,31
43,8
44,80
45,45
46,46
47,32
48,47
49,48
50,49
51,51
52,21
53,50
54,21
55,52
56,34
57,53
58,54
59,55
60,56
61,56
62,57
63,9
64,64
65,22
66,5
67,29
68,38
69,17
70,38
71,17
72,16
73,29
74,14
75,28
76,11
77,4
78,4
79,60
80,18
81,18
82,18
83,18
84,61
85,62
86,68
87,63
88,66
89,67
90,70
91,71
92,72
93,73
94,74
95,75
96,76
97,26
98,8
99,8
100,26
101,8
102,42
103,26
104,26
105,31
106,8
107,42
108,8
109,79
110,78
111,8
112,83
113,84
114,85
115,86
116,87
117,88
118,89
119,90
120,91
121,92
122,94
123,32
124,94
125,95
126,96
127,97
128,98
129,99
130,23
131,23
132,100
133,101
134,102
135,103
136,104
137,187
138,105
139,106
140,107
141,150
142,108
143,109
144,110
145,112
146,111
147,113
148,114
149,27
150,116
151,115
152,116
153,27
154,27
155,117
156,118
157,119
158,120
159,121
160,122
161,123
162,124
163,125
164,127
165,34
166,128
167,129
168,130
169,131
170,132
171,133
172,134
173,35
174,135
175,136
176,137
177,138
178,139
179,140
180,141
181,142
182,143
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,9
194,144
195,9
196,9
197,9
198,145
199,146
200,147
201,148
202,149
203,151
204,152
205,153
206,154
207,155
208,156
209,14
210,17
211,28
212,20
213,29
214,16
215,22
216,25
217,14
218,20
219,14
220,20
221,17
222,19
223,14
224,3
225,28
226,17
227,20
228,37
229,14
230,37
231,17
232,20
233,19
234,20
235,22
236,25
237,20
238,20
239,3
240,5
241,12
242,12
243,22
244,29
245,22
246,16
247,20
248,22
249,2
250,37
251,37
252,159
253,16
254,17
255,5
256,11
257,157
258,160
259,161
260,162
261,163
262,18
263,164
264,165
265,166
266,167
267,185
268,168
269,169
270,170
271,171
272,64
273,64
274,172
275,173
276,174
277,176
278,177
279,178
280,179
281,180
282,181
283,182
284,183
285,184
286,186
287,69
288,69
289,188
290,189
291,190
292,191
293,192
294,193